size,m,n,rs_a,cs_a,flop,throughput,bytes,GB_per_s,nanoseconds
1328,1328,1328,1328,1,3.527e+06,2.060e+00,7.070e+06,4.130e+00,1.712e+06
1344,1344,1344,1344,1,3.613e+06,2.060e+00,7.241e+06,4.130e+00,1.753e+06
1360,1360,1360,1360,1,3.699e+06,2.059e+00,7.415e+06,4.127e+00,1.796e+06
1376,1376,1376,1376,1,3.787e+06,2.060e+00,7.590e+06,4.128e+00,1.838e+06
1392,1392,1392,1392,1,3.875e+06,2.059e+00,7.767e+06,4.128e+00,1.882e+06
1408,1408,1408,1408,1,3.965e+06,2.059e+00,7.947e+06,4.128e+00,1.925e+06
1424,1424,1424,1424,1,4.056e+06,2.059e+00,8.128e+06,4.126e+00,1.970e+06
1440,1440,1440,1440,1,4.147e+06,2.059e+00,8.312e+06,4.126e+00,2.015e+06
1456,1456,1456,1456,1,4.240e+06,2.058e+00,8.497e+06,4.124e+00,2.060e+06
1472,1472,1472,1472,1,4.334e+06,2.058e+00,8.685e+06,4.124e+00,2.106e+06
1488,1488,1488,1488,1,4.428e+06,2.056e+00,8.874e+06,4.121e+00,2.153e+06
1504,1504,1504,1504,1,4.524e+06,2.057e+00,9.066e+06,4.123e+00,2.199e+06
1520,1520,1520,1520,1,4.621e+06,2.057e+00,9.260e+06,4.123e+00,2.246e+06
