size,m,flop,throughput,bytes,GB_per_s,nanoseconds
1296,1296,1.296e+03,1.029e+00,5.188e+03,4.117e+00,1.260e+03
1312,1312,1.312e+03,1.033e+00,5.252e+03,4.135e+00,1.270e+03
1328,1328,1.328e+03,1.029e+00,5.316e+03,4.121e+00,1.290e+03
1344,1344,1.344e+03,1.034e+00,5.380e+03,4.138e+00,1.300e+03
1360,1360,1.360e+03,1.030e+00,5.444e+03,4.124e+00,1.320e+03
1376,1376,1.376e+03,1.027e+00,5.508e+03,4.110e+00,1.340e+03
1392,1392,1.392e+03,1.031e+00,5.572e+03,4.127e+00,1.350e+03
1408,1408,1.408e+03,1.028e+00,5.636e+03,4.114e+00,1.370e+03
1424,1424,1.424e+03,1.032e+00,5.700e+03,4.130e+00,1.380e+03
1440,1440,1.440e+03,1.029e+00,5.764e+03,4.117e+00,1.400e+03
1456,1456,1.456e+03,1.033e+00,5.828e+03,4.133e+00,1.410e+03
1472,1472,1.472e+03,1.029e+00,5.892e+03,4.120e+00,1.430e+03
1488,1488,1.488e+03,1.033e+00,5.956e+03,4.136e+00,1.440e+03
1504,1504,1.504e+03,1.030e+00,6.020e+03,4.123e+00,1.460e+03
1520,1520,1.520e+03,1.034e+00,6.084e+03,4.139e+00,1.470e+03
