size,m,n,k,rs_a,cs_a,rs_b,cs_b,rs_c,cs_c,flop,throughput,bytes,GB_per_s,nanoseconds
1168,1168,1168,1168,1168,1,1168,1,1168,1,-1.108e+09,-7.116e-01,2.183e+07,1.402e-02,1.557e+09
1184,1184,1184,1184,1184,1,1184,1,1184,1,-9.754e+08,-6.009e-01,2.243e+07,1.382e-02,1.623e+09
1200,1200,1200,1200,1200,1,1200,1,1200,1,-8.390e+08,-4.967e-01,2.304e+07,1.364e-02,1.689e+09
1216,1216,1216,1216,1216,1,1216,1,1216,1,-6.989e+08,-3.976e-01,2.366e+07,1.346e-02,1.758e+09
1232,1232,1232,1232,1232,1,1232,1,1232,1,-5.550e+08,-3.033e-01,2.429e+07,1.327e-02,1.830e+09
1248,1248,1248,1248,1248,1,1248,1,1248,1,-4.074e+08,-2.134e-01,2.492e+07,1.306e-02,1.909e+09
1264,1264,1264,1264,1264,1,1264,1,1264,1,-2.560e+08,-1.296e-01,2.556e+07,1.294e-02,1.976e+09
1280,1280,1280,1280,1280,1,1280,1,1280,1,-1.007e+08,-4.898e-02,2.621e+07,1.276e-02,2.055e+09
1296,1296,1296,1296,1296,1,1296,1,1296,1,5.860e+07,2.750e-02,2.687e+07,1.261e-02,2.131e+09
1312,1312,1312,1312,1312,1,1312,1,1312,1,2.218e+08,1.003e-01,2.754e+07,1.246e-02,2.211e+09
1328,1328,1328,1328,1328,1,1328,1,1328,1,3.891e+08,1.699e-01,2.822e+07,1.232e-02,2.291e+09
1344,1344,1344,1344,1344,1,1344,1,1344,1,5.605e+08,2.358e-01,2.890e+07,1.216e-02,2.376e+09
1360,1360,1360,1360,1360,1,1360,1,1360,1,7.359e+08,2.989e-01,2.959e+07,1.202e-02,2.462e+09
1376,1376,1376,1376,1376,1,1376,1,1376,1,9.156e+08,3.592e-01,3.029e+07,1.188e-02,2.549e+09
1392,1392,1392,1392,1392,1,1392,1,1392,1,1.099e+09,4.154e-01,3.100e+07,1.171e-02,2.647e+09
1408,1408,1408,1408,1408,1,1408,1,1408,1,1.288e+09,3.595e-01,3.172e+07,8.856e-03,3.582e+09
1424,1424,1424,1424,1424,1,1424,1,1424,1,1.480e+09,2.845e-01,3.244e+07,6.237e-03,5.202e+09
1440,1440,1440,1440,1440,1,1440,1,1440,1,1.677e+09,5.654e-01,3.318e+07,1.119e-02,2.966e+09
1456,1456,1456,1456,1456,1,1456,1,1456,1,1.878e+09,4.967e-01,3.392e+07,8.970e-03,3.781e+09
1472,1472,1472,1472,1472,1,1472,1,1472,1,2.084e+09,3.055e-01,3.467e+07,5.082e-03,6.822e+09
1488,1488,1488,1488,1488,1,1488,1,1488,1,-2.001e+09,-3.330e-01,3.543e+07,5.897e-03,6.007e+09
1504,1504,1504,1504,1504,1,1504,1,1504,1,-1.786e+09,-5.223e-01,3.619e+07,1.058e-02,3.419e+09
1520,1520,1520,1520,1520,1,1520,1,1520,1,-1.566e+09,-4.496e-01,3.697e+07,1.061e-02,3.484e+09
