size,m,n,rs_c,cs_c,flop,throughput,bytes,GB_per_s,nanoseconds
1328,1328,1328,1328,1,3.527e+06,3.788e+00,1.412e+07,1.516e+01,9.311e+05
1344,1344,1344,1344,1,3.613e+06,3.791e+00,1.446e+07,1.518e+01,9.529e+05
1360,1360,1360,1360,1,3.699e+06,3.775e+00,1.481e+07,1.511e+01,9.799e+05
1376,1376,1376,1376,1,3.787e+06,3.774e+00,1.516e+07,1.511e+01,1.003e+06
1392,1392,1392,1392,1,3.875e+06,3.769e+00,1.551e+07,1.509e+01,1.028e+06
1408,1408,1408,1408,1,3.965e+06,3.774e+00,1.587e+07,1.511e+01,1.051e+06
1424,1424,1424,1424,1,4.056e+06,3.768e+00,1.623e+07,1.508e+01,1.076e+06
1440,1440,1440,1440,1,4.147e+06,3.776e+00,1.660e+07,1.511e+01,1.098e+06
1456,1456,1456,1456,1,4.240e+06,3.771e+00,1.697e+07,1.509e+01,1.124e+06
1472,1472,1472,1472,1,4.334e+06,3.773e+00,1.735e+07,1.510e+01,1.148e+06
1488,1488,1488,1488,1,4.428e+06,3.777e+00,1.773e+07,1.512e+01,1.172e+06
1504,1504,1504,1504,1,4.524e+06,3.773e+00,1.811e+07,1.510e+01,1.199e+06
1520,1520,1520,1520,1,4.621e+06,3.782e+00,1.850e+07,1.514e+01,1.222e+06
