size,m,n,rs_a,cs_a,rs_c,cs_c,flop,throughput,bytes,GB_per_s,nanoseconds
960,960,960,960,1,960,1,9.216e+05,1.132e+00,7.373e+06,9.054e+00,8.143e+05
976,976,976,976,1,976,1,9.526e+05,1.204e+00,7.621e+06,9.635e+00,7.909e+05
992,992,992,992,1,992,1,9.841e+05,1.164e+00,7.873e+06,9.315e+00,8.451e+05
1008,1008,1008,1008,1,1008,1,1.016e+06,1.174e+00,8.129e+06,9.395e+00,8.652e+05
1024,1024,1024,1024,1,1024,1,1.049e+06,1.594e-01,8.389e+06,1.275e+00,6.578e+06
1040,1040,1040,1040,1,1040,1,1.082e+06,1.180e+00,8.653e+06,9.438e+00,9.168e+05
1056,1056,1056,1056,1,1056,1,1.115e+06,1.166e+00,8.921e+06,9.329e+00,9.563e+05
1072,1072,1072,1072,1,1072,1,1.149e+06,1.202e+00,9.193e+06,9.619e+00,9.558e+05
1088,1088,1088,1088,1,1088,1,1.184e+06,1.128e+00,9.470e+06,9.025e+00,1.049e+06
1104,1104,1104,1104,1,1104,1,1.219e+06,1.200e+00,9.751e+06,9.600e+00,1.016e+06
1120,1120,1120,1120,1,1120,1,1.254e+06,1.166e+00,1.004e+07,9.329e+00,1.076e+06
1136,1136,1136,1136,1,1136,1,1.290e+06,1.192e+00,1.032e+07,9.540e+00,1.082e+06
1152,1152,1152,1152,1,1152,1,1.327e+06,4.116e-01,1.062e+07,3.292e+00,3.225e+06
1168,1168,1168,1168,1,1168,1,1.364e+06,1.190e+00,1.091e+07,9.523e+00,1.146e+06
1184,1184,1184,1184,1,1184,1,1.402e+06,1.160e+00,1.121e+07,9.280e+00,1.208e+06
1200,1200,1200,1200,1,1200,1,1.440e+06,1.191e+00,1.152e+07,9.532e+00,1.209e+06
1216,1216,1216,1216,1,1216,1,1.479e+06,1.127e+00,1.183e+07,9.017e+00,1.312e+06
1232,1232,1232,1232,1,1232,1,1.518e+06,1.186e+00,1.214e+07,9.487e+00,1.280e+06
